date,open,high,low,close,diff,sma10,vol,it,de,fi,wma10,CCI14,RSI 9,k_value,d_value,R
2012/2/3,76.3,76.4,75.6,76.2,-0.6,76.93,47782,-1922,-1872,-24208,76.99,-38.91,47.28,48.81,57.89,-67.35
2012/2/4,76.4,76.7,76,76.5,0.3,76.88,22934,-1761,-2390,-7861,76.91,-17,49.8,45.47,53.75,-61.22
2012/2/6,77.3,77.5,76.6,77.4,0.9,76.87,47556,-535,-1115,17124,77.01,34.45,56.78,48.43,51.98,-42.86
2012/2/7,77.5,77.5,76.8,77.4,0,77.08,29978,-794,69,7574,77.1,35.46,56.78,47.67,50.54,-42.86
2012/2/8,77.5,77.5,76.9,77.5,0.1,77.27,34762,-4338,-45,-814,77.18,38.29,57.61,48.02,49.7,-40.82
2012/2/9,77,78,76.5,78,0.5,77.4,55149,-3339,-1963,1366,77.31,54.98,61.73,59.6,53,-30.61
2012/2/10,78,78,76.7,76.9,-1.1,77.22,42131,-2262,-3149,7077,77.22,33.51,49.75,57.79,54.6,-53.06
2012/2/13,76.4,77.1,76.2,76.6,-0.3,77.03,36392,-759,-137,460,77.11,-35.1,46.95,52.41,53.87,-63.04
2012/2/14,77.1,77.4,76.2,77.3,0.7,77.06,42079,-1849,-3015,10038,77.16,-11.34,53.77,58.55,55.43,-56.41
2012/2/15,77.6,78.5,77.6,78.5,1.2,77.23,71070,-1022,-1082,24050,77.42,103.21,62.96,72.37,61.08,-25.64
2012/2/16,78.5,78.9,78,78.5,0,77.46,57972,-1123,-2286,18541,77.65,148.25,62.96,76.64,66.27,-12.12
2012/2/17,79.5,81.1,79.4,80,1.5,77.81,63976,515,200,31558,78.11,279.64,71.82,76.94,69.82,-20
2012/2/20,80.6,80.8,79.7,80,0,78.07,31056,802,-2243,3510,78.51,214.5,71.82,77.15,72.27,-20
2012/2/21,80,80,79.3,80,0,78.33,27542,-23,-1975,9116,78.86,142.22,71.82,77.28,73.94,-20
2012/2/22,79.9,80,79,79.7,-0.3,78.55,41104,-2576,549,7077,79.11,101.44,67.24,75.33,74.4,-27.45
2012/2/23,79,79.4,77.7,78.1,-1.6,78.56,59950,-2156,-84,-16328,79.03,13.72,48.63,63.15,70.65,-61.22
2012/2/24,77.5,79.1,77.2,79.1,1,78.78,39496,-1593,-2060,-2406,79.13,12.18,57,61.82,67.71,-40.82
2012/2/29,80.2,81.1,79.4,81.1,2,79.23,77950,-164,770,40548,79.55,122.81,68.53,74.55,69.99,0
2012/3/1,81,81,80.1,80.1,-1,79.51,21195,-1348,72,2190,79.71,93.66,59.55,74.49,71.49,-20.41
2012/3/2,80,80.1,79.2,80,-0.1,79.66,23877,-2234,-175,-7244,79.8,47.87,58.68,73.59,72.19,-22.45
2012/3/3,79.1,79.6,79.1,79.3,-0.7,79.74,7314,-1128,-645,-1948,79.73,15.28,52.66,67.01,70.46,-36.73
2012/3/5,78.7,79.6,78.5,78.9,-0.4,79.63,22790,2186,-2784,-2263,79.58,-12.83,49.4,59.2,66.71,-44.9
2012/3/6,79.6,79.6,78.3,79.5,0.6,79.58,27750,1621,-1425,319,79.55,-13.91,54.18,59.13,64.18,-41.03
2012/3/7,79,79.3,78.7,79.1,-0.4,79.49,30312,-373,-1811,1659,79.47,-23.62,50.59,55.66,61.34,-51.28
2012/3/8,79.8,80.2,79.2,79.7,0.6,79.49,36183,2646,-1257,8187,79.5,10.46,55.56,58.47,60.38,-35.9
2012/3/9,79.5,80,78.8,80,0.3,79.68,22704,1124,-642,3009,79.6,8.24,57.94,59.22,60,-28.21
2012/3/12,80.2,80.5,79.6,80,0,79.77,28921,-1466,-973,13720,79.66,49.68,57.94,60.47,60.15,-28.21
2012/3/13,80.6,81.3,80.1,81.3,1.3,79.79,47236,54,151,34783,79.93,128.06,67.49,73.64,64.65,0
